name,source,domain,url,institution,duration_weeks,difficulty,skill_tags,syllabus_weeks
Design Practices for Intelligent Product Design,NPTEL,Design Engineering,https://onlinecourses.nptel.ac.in/noc25_de10/preview,IIT Kanpur,8,Postgraduate,"Design Engineering,Manufacturing Industry,Aerospace Industry,Automobile Company","[""Week 1:"", ""Week 2:"", ""Week 3:"", ""Week 4:"", ""Week 5:"", ""Week 6:"", ""Week 7:"", ""Week 8:""]"
Functional and Conceptual Design,NPTEL,Design Engineering,https://onlinecourses.nptel.ac.in/noc25_de17/preview,IIT Madras,12,Undergraduate/Postgraduate,Design Engineering,"[""Week 1\u00a0 :"", ""Week 2\u00a0 :"", ""Week 3\u00a0 :"", ""Week 4\u00a0 :"", ""Week 5\u00a0 :"", ""Week 6\u00a0 :"", ""Week 7\u00a0 :"", ""Week 8\u00a0 :"", ""Week 9\u00a0 :"", ""Week 10:"", ""Week 11:"", ""Week 12:""]"
Understanding Incubation and Entrepreneurship,NPTEL,Design Engineering,https://onlinecourses.nptel.ac.in/noc25_de20/preview,IIT Bombay,12,Undergraduate,Design Engineering,"[""Week 1:"", ""Week 2:"", ""Week 3:"", ""Week 4:"", ""Week 5:"", ""Week 6:"", ""Week 7:"", ""Week 8:"", ""Week 9:"", ""Week 10:"", ""Week 11:"", ""Week 12:""]"
Advanced Financial Analytics,NPTEL,Management Studies,https://onlinecourses.nptel.ac.in/noc25_mg01/preview,IIT Kanpur,12,Undergraduate/Postgraduate,"Management Studies,Finance,Economics,Economics & Finance,Management students (Ph.D. and MBA),Commerce students (B.Com,M.Com.),Chartered Accountants,Science (B.Sc.,M.Sc.),and Engineering students (B-Tec,Fractal Analytics,Manthan.Latent View,Tiger Analytics,Absolutedata","[""Week 1:"", ""Week 2:"", ""Week 3:"", ""Week 4:"", ""Week 5:"", ""Week 6:"", ""Week 7:"", ""Week 8:"", ""Week 9:"", ""Week 10:"", ""Week 11:"", ""Week 12:""]"
AI in Human Resource Management,NPTEL,Management Studies,https://onlinecourses.nptel.ac.in/noc25_mg05/preview,IIT Guwahati,12,Postgraduate,"Management Studies,Human Resource Management,MBA,EMBA","[""Week 1"", ""Week 2"", ""Week 3"", ""Week 4"", ""Week 5"", ""Week 6"", ""Week 7"", ""Week 8"", ""Week 9"", ""Week 10"", ""Week 11"", ""Week 12""]"
Business Analytics For Management Decision,NPTEL,Management Studies,https://onlinecourses.nptel.ac.in/noc25_mg10/preview,IIT Kharagpur,12,Undergraduate/Postgraduate,"Management Studies,Operations,ManagementPREREQUISITES  : Basic Statistics,Basic Mathematics,Basic Management","[""Week 1:"", ""Week 2:Exploring Data and Analytics on Spreadsheets"", ""Week 2:"", ""Week 3:Descriptive Analytics"", ""Week 3:"", ""Week 4:Inferential Analytics 1"", ""Week 4:"", ""Week 5:Inferential Analytics 2"", ""Week 5:"", ""Week 6:Predictive Analytics 1"", ""Week 6:"", ""Week 7:Predictive Analytics 2"", ""Week 7:"", ""Week 8:Predictive Analytics 3"", ""Week 8:"", ""Week 9:Prescriptive Analytics 1""]"
Business Statistics,NPTEL,Management Studies,https://onlinecourses.nptel.ac.in/noc25_mg15/preview,IIT Roorkee,12,Undergraduate/Postgraduate,"Management Studies,Managerial Economics,Operations,Students of B.Tech. M.Tech,PhD and working professionals","[""Week 1\u00a0 :"", ""Week 2\u00a0 :"", ""Week 3\u00a0 :"", ""Week 4\u00a0 :"", ""Week 5\u00a0 :"", ""Week 6\u00a0 :"", ""Week 7\u00a0 :"", ""Week 8\u00a0 :"", ""Week 9\u00a0 :"", ""Week 10\u00a0 :"", ""Week 11\u00a0 :"", ""Week 12\u00a0 :""]"
Management of Field Sales,NPTEL,Management Studies,https://onlinecourses.nptel.ac.in/noc25_mg41/preview,IIT Kanpur,4,Undergraduate/Postgraduate,"Management Studies,Marketing,MBA students,senior B. Tech students,Consumer Durables,FMCG,Automotive,Chemical,Pharmaceutical,Engineering and Service Industries","[""Week 1 :"", ""Week 2 :Products and Solutions, Approaches for Solution Selling, Buying Process Fundamentals-I, Buying Process Fundamentals- II, Opportunity classifications"", ""Week 2 :"", ""Week 3 :Account based sales management, Adaptive Selling strategy, Consultative Interactions for the sales person, Pitching and Presentation, Sales Negotiation"", ""Week 3 :"", ""Week 4 :Adaptive Sales Closing, Service management post-sales, Managing Sales Teams, Sales Automation, Personal Development for the Sales manager"", ""Week 4 :""]"
A brief introduction of Micro - Sensors,NPTEL,"Electrical, Electronics and Communications Engineering",https://onlinecourses.nptel.ac.in/noc25_ee01/preview,IISER Bhopal,4,Postgraduate,"Electrical, Electronics and Communications Engineering,Electronics and MechanicsINDUSTRY SUPPORT  : TSMC,ASML,Sandisk,Applied Materials etc. semicond","[""Week 1""]"
Analog Electronic Circuits - IITM,NPTEL,"Electrical, Electronics and Communications Engineering",https://onlinecourses.nptel.ac.in/noc25_ee05/preview,IIT Madras,12,Undergraduate,"Electrical, Electronics and Communications Engineering,VLSI design,Undergraduate students,Basic Circuit Theory,Electrical Circuits and NetworksINDUSTRY SUPPOR,All semiconductor design / services companies","[""Week 1:"", ""Week 2:"", ""Week 3:"", ""Week 4:"", ""Week 5:"", ""Week 6:"", ""Week 7:"", ""Week 8:"", ""Week 9:"", ""Week 10:"", ""Week 11:"", ""Week 12:""]"
